Odometry_Theta (abs),Integrated_Theta (abs),Difference (°),Sampling_Rate
0.0951599613170713,0.10022415371073184,0.2901568507990031,
0.1005926048574581,0.10199948024252062,0.08060802186492445,
0.1005926048574581,0.10377480677430939,0.18232673939401914,
0.1005926048574581,0.10561245009134221,0.28761594571042065,
0.1047165015814221,0.10745009340837502,0.15662327459585898,
0.1047165015814221,0.10928773672540784,0.2619124809122605,
0.1047165015814221,0.11112538004244066,0.367201687228662,
0.1047165015814221,0.11305805645697063,0.4779358889457059,
0.1047165015814221,0.11500475414818051,0.5894734506398934,
0.1155339648965707,0.11695145183939039,0.08121601933847025,
0.1155339648965707,0.11889814953060027,0.19275358103265786,
0.1155339648965707,0.12087055289572331,0.3057639693516092,
0.1206475547223906,0.12284295626084635,0.12578724249004247,
0.1206475547223906,0.12481535962596939,0.23879763080899383,
0.1206475547223906,0.12680567906685009,0.35283453465429554,
0.1259490228998805,0.1287959985077308,0.16311968670651428,
0.1259490228998805,0.1307863179486115,0.2771565905518168,
0.1259490228998805,0.13279766930451206,0.39239853436283406,
0.131784790067509,0.13480902066041262,0.17327564924772312,
0.131784790067509,0.13682037201631317,0.2885175930587404,
0.131784790067509,0.13885353424704916,0.40500920794531636,
0.1370919712366207,0.14088669647778515,0.21742174073048637,
0.1370919712366207,0.14291985870852114,0.3339133556170623,
0.1370919712366207,0.14499508476929684,0.45281505043506937,
0.1435781251165201,0.14707031083007255,0.20008750266243713,
0.1435781251165201,0.14914553689084825,0.3189891974804442,
0.1435781251165201,0.15126204782184813,0.4402563411200417,
0.1494730425131004,0.153378558752848,0.22376959735734134,
0.1494730425131004,0.15554336519241202,0.34780386980710193,
0.1552598351421012,0.15770817163197604,0.1402793476977022,
0.1552598351421012,0.15987297807154005,0.2643136201474628,
0.1552598351421012,0.1620954275374548,0.39165059472548125,
0.1611885191882462,0.16431787700336953,0.1792989953928473,
0.1611885191882462,0.16654032646928427,0.30663596997086573,
0.1611885191882462,0.16882976647933634,0.43781121999523837,
0.1676713079373278,0.17111920648938841,0.19755003522234132,
0.1676713079373278,0.1734086464994405,0.3287252852467139,
0.1676713079373278,0.17576274017418325,0.46360491738791704,
0.174012191587439,0.17811683384892602,0.23517867799423978,
0.174012191587439,0.18053324430891282,0.3736287989227497,
0.1807454339984607,0.18294965476889963,0.12629254726122605,
0.1807454339984607,0.18536606522888643,0.26474266818973596,
0.1807454339984607,0.1878128551216797,0.40493340240205694,
0.187349305744946,0.19025964501447296,0.16675015709508223,
0.187349305744946,0.19270643490726622,0.3069408913074032,
0.187349305744946,0.19516335127766166,0.44771182994766284,
0.1938932046429037,0.1976202676480571,0.2135449801746357,
0.1938932046429037,0.20007718401845254,0.3543159188148953,
0.1938932046429037,0.20253721622811016,0.49526538189451935,
0.1938932046429037,0.2049972484377678,0.6362148449741434,
0.1938932046429037,0.20745182792871655,0.7768518902848777,
0.2067339194598093,0.20990640741966532,0.18177017065581944,
0.2067339194598093,0.21236098691061409,0.3224072159665538,
0.2067339194598093,0.2147992082454363,0.46210700797062076,
0.2132080458660609,0.21723742958025852,0.23086668086227127,
0.2132080458660609,0.21967565091508073,0.37056647286633826,
0.2211016153505924,0.22211387224990295,0.0579980481134942,
0.2211016153505924,0.22455209358472517,0.19769784011756114,
0.2211016153505924,0.22699031491954738,0.3373976321216281,
0.2276720182083017,0.22944333649086507,0.10148906176524167,
0.2276720182083017,0.23189635806218276,0.24203684485629462,
0.2276720182083017,0.23434937963350044,0.3825846279473476,
0.2276720182083017,0.2368343385572557,0.5249622865418946,
0.2276720182083017,0.23931929748101094,0.6673399451364417,
0.2276720182083017,0.2418494360740681,0.8123062081017859,
0.2403191713170857,0.2443795746671253,0.23264397507804965,
0.2403191713170857,0.24690971326018246,0.37761023804339383,
0.2403191713170857,0.24952242159368798,0.5273073986519189,
0.2403191713170857,0.2521351299271935,0.6770045592604439,
0.2403191713170857,0.25479457584963205,0.8293795864594491,
0.2539994025199062,0.2574540217720706,0.19793510297366038,
0.2539994025199062,0.26011346769450916,0.3503101301726655,
0.2539994025199062,0.2627729136169477,0.5026851573716706,
0.2539994025199062,0.26550012904333914,0.6589430911268707,
0.2539994025199062,0.26822734446973057,0.8152010248820707,
0.2539994025199062,0.27096624429335525,0.9721284252848907,
0.2698361868820421,0.27370514411697994,0.22167492067854389,
0.2698361868820421,0.2764440439406046,0.37860232108136394,
0.2698361868820421,0.27916892248754943,0.5347263615070418,
0.2770936019199678,0.28189380103449424,0.2750311500848004,
0.2770936019199678,0.28461867958143905,0.43115519051047835,
0.2770936019199678,0.28730772597686854,0.5852261998834555,
0.2770936019199678,0.28999677237229804,0.7392972092564326,
0.2770936019199678,0.29265543933492105,0.891627605345597,
0.2911986030504618,0.29531410629754407,0.23580096663019975,
0.2911986030504618,0.2979727732601671,0.3881313627193642,
0.2911986030504618,0.30059716599090586,0.5384979899755092,
0.2911986030504618,0.30322155872164464,0.6888646172316543,
0.2911986030504618,0.30583660393459683,0.8386956711697047,
0.3055050665404999,0.308451649147549,0.16882674737056902,
0.3055050665404999,0.3110666943605012,0.3186578013086193,
0.3055050665404999,0.3136895291716089,0.468935166345083,
0.3124871802614203,0.3163123639827166,0.21916688309242513,
0.3124871802614203,0.3189351987938243,0.3694442481288888,
0.3124871802614203,0.32158062343958294,0.5210159153507486,
0.3201945944657482,0.32422604808534156,0.2309852777054376,
